00012941Jonathan       Rodriguez  2605030
00790922Muriel         Arnaud     1420050
00889852Matthieu       Picard     6621150
01328678Florian        Lecomte    1418315
01448471Nathalie       Benoit     5306835
01918823Fabienne       Hoarau     5745325
02280283Daniel         Deschamps  9206445
02563262Cedric         Barre      3427835
02885481Elodie         Deschamps  3338815
03427557Jerome         Breton     8113415
04144405Claude         Lecomte    5113010
04186499Anthony        Philippe   8912345
04381161Michel         Weber      7312925
04393210Karine         Delaunay   2011335
04720278Clara          Garcia     6816225
04914690Loic           Bailly     2823050
05249066Matthieu       Grondin    1928925
05781635Gilles         Bertrand   2513720
05818791Gerard         Bonnet     8933850
06109062Thierry        Millet     5529820
06516517Romain         Brun       6329250
06651836Anne           Petit      0138425
07035090Sylvie         Chevalier  6045725
07790254Julie          Pichon     1121045
08248887Guy            Da Silva   8709550
08312288Marine         Nicolas    5030215
08792761Julien         Martin     2318440
08810101Mathilde       Le Roux    8717635
08901996Gerard         Blanchard  1305010
09236131Maxime         Guillaume  7226830
09486734Arnaud         Mallet     9124010
09654960Agnes          Roussel    4516240
09861619Laure          Hamon      5312440
09903284Aurelie        Thomas     0023640
09944624Jacques        Bouvier    3951335
10007732Nathalie       Hamon      6011235
10034778Christophe     Weber      1807245
10447845Jean-Marc      Guillot    6541140
10618732Stephane       Carpentier 0833535
11367500Michele        Guillaume  1000920
11804886Agnes          Marie      5244320
13171421Pascale        Rodriguez  3321045
13249378Maryse         Bonnet     7603910
13363126Loic           Le Roux    1227720
13469182Maxime         Pasquier   6345450
13831091Joel           Garcia     8530415
13975135Daniel         Noel       0113330
14656942Louis          Langlois   1422325
15149589Quentin        Richard    3719235
15250782Jacques        Gaillard   5254140
15421720Thierry        Garnier    1733735
15471596Jean-Pierre    Robert     5300220
15598420Brigitte       Delaunay   2637830
16006637Remi           Rey        4720415
16181573Pierre         Carlier    6905035
16414117Enzo           Leroux     3156930
16494431Philippe       Daniel     2224610
16680435Lucie          Paris      8406945
16871319Daniel         Weber      7404145
16920255Sophie         Leger      5009620
17012105Alexandre      Lambert    8511610
17203181Claude         Remy       0926945
17524069Alexandre      Durand     8510230
17660086Clara          Guichard   8939245
17718624Jean-Paul      Millet     8518510
17824067Rene           Weber      0706415
18218172Vanessa        Royer      0332125
18249675Laura          Fontaine   8945245
18516247Claudine       Leroux     1130910
19040400Christiane     Daniel     8414310
19179761Maryse         Nicolas    2503410
19440206Sylvie         Berger     7128210
19449282Christine      Nicolas    4406815
19651147Anne-marie     Pelletier  6257230
19696185Frederic       Fleury     5733045
19966291Julie          Remy       1923035
20182496Ludovic        Poirier    4026815
20204903Mathilde       Vincent    2746730
20648001Patrick        Lecomte    4922630
21043396Claire         Tessier    4623630
21062857Didier         Dubois     5525215
21315489Chantal        Da Silva   3853710
21326439Bernadette     Olivier    6027545
21832264Baptiste       Lucas      5049740
21888816Benjamin       Colin      6409335
22124774Celine         Dufour     2126030
22236205Ines           Marchand   7803440
22536550Julie          Bailly     0823910
22626383Thierry        Charles    0129815
23209454Pauline        Barthelemy 8524040
23441679Didier         Collet     8806315
23515040Remi           Gerard     2103550
23875166Pascal         Bouchet    1923920
23928330Nicole         Blanc      5605250
23955019Joel           Bouvier    0418930
24261186Antoine        Da Silva   8306910
24527164Lionel         Antoine    1916945
24649212Sandra         Collet     2164635
24683068Clement        Martin     7012425
24897586Danielle       Adam       3534625
25398246Pierre         David      5960830
26158316Matthieu       Laporte    3104140
26513120Alain          Royer      5235045
26685513Pierre         Delaunay   8204940
26932097Pascal         Besson     2520210
27062160Francois       Cousin     6331345
28302145Raphael        Charles    7743010
28455899Philippe       Arnaud     2016130
28697516Jocelyne       Perret     5537410
28741466Jocelyne       Barthelemy 3806430
29002209Fanny          Guichard   4118910
29353559Clement        Riviere    5946745
29622637Cecile         Clement    0133930
29639902Cyril          Marty      7649220
30302648Frederic       Pichon     6122035
30614720Enzo           Bertrand   6521120
30940824Jean-Marc      Gauthier   7012015
31031541Morgane        Laurent    5319050
31148347Angelique      Collet     2728530
31159124Didier         David      8919845
31345198Oceane         Rousseau   3953910
31487098Joel           Benard     7603050
31651442Yannis         Poirier    3951450
31781157Christelle     Rolland    1613840
31902615Christiane     Jacquet    7641030
32095948Claire         Klein      1472850
32126138Lucas          Philippe   6276640
32216402Anne           Marchal    5534710
32370726Mathilde       Daniel     3606145
32643427Amelie         Cousin     2606120
32676569Alain          Besson     3817525
33046985Guy            Deschamps  6725740
33103345Patricia       Germain    0727910
33224562Bruno          Marechal   6925430
33254118Lionel         Prevost    8622110
33452146Dominique      Menard     1451045
33470816Cecile         Guyot      3907840
33541933Emmanuelle     Renard     5619840
34039073Julien         Charles    0903745
34189210Manon          Marechal   7659420
34302005Clara          Bourgeois  1926140
