00012941Jonathan       Rodriguez  26050BESIGNAN                                          DROME                       RHONE-ALPES                   00947400312300322800312300
00790922Muriel         Arnaud     14200CREULLY                                           CALVADOS                    BASSE-NORMANDIE               01631400546700544900539800
00889852Matthieu       Picard     66211TORDERES                                          PYRENEES-ORIENTALES         LANGUEDOC-ROUSSILLON          04106401312601038501755300
01328678Florian        Lecomte    14183COSSESSEVILLE                                     CALVADOS                    BASSE-NORMANDIE               01598700520100487800590800
01448471Nathalie       Benoit     53068CHERANCE                                          MAYENNE                     PAYS DE LA LOIRE              00566100179400152400234300
01918823Fabienne       Hoarau     57453MAXSTADT                                          MOSELLE                     LORRAINE                      06096601835101243303018200
02280283Daniel         Deschamps  92064SAINT-CLOUD                                       HAUTS-DE-SEINE              ILE-DE-FRANCE                 02770200903601055700810900
02563262Cedric         Barre      34278SAINT-MICHEL                                      HERAULT                     LANGUEDOC-ROUSSILLON          03739601122500750601866500
02885481Elodie         Deschamps  33388SAINT-CIERS-DE-CANESSE                            GIRONDE                     AQUITAINE                     00802800268900268900265000
03427557Jerome         Breton     81134LAMONTELARIE                                      TARN                        MIDI-PYRENEES                 04817501448001097902271600
04144405Claude         Lecomte    51130CHARMONT                                          MARNE                       CHAMPAGNE-ARDENNE             01599700520500478800600400
04186499Anthony        Philippe   89123COURGIS                                           YONNE                       BOURGOGNE                     02529600793200662101074300
04381161Michel         Weber      73129GRESY-SUR-ISERE                                   SAVOIE                      RHONE-ALPES                   00911600310800279700321100
04393210Karine         Delaunay   20113FICAJA                                            HAUTE-CORSE                 CORSE                         00945000315000315000315000
04720278Clara          Garcia     68162KAYSERSBERG                                       HAUT-RHIN                   ALSACE                        02478900751900531401195600
04914690Loic           Bailly     28230MAISONS                                           EURE-ET-LOIR                CENTRE                        01303400413500350500539400
05249066Matthieu       Grondin    19289YSSANDON                                          CORREZE                     LIMOUSIN                      07011502193601635803182100
05781635Gilles         Bertrand   25137CHAUDEFONTAINE                                    DOUBS                       FRANCHE-COMTE                 10792803286702305005201100
05818791Gerard         Bonnet     89338SAINT-CLEMENT                                     YONNE                       BOURGOGNE                     03816001186800896401732800
06109062Thierry        Millet     55298LOISEY-CULEY                                      MEUSE                       LORRAINE                      01389200460900465200463100
06516517Romain         Brun       63292PUY-SAINT-GULMIER                                 PUY-DE-DOME                 AUVERGNE                      03551201097000851501602700
06651836Anne           Petit      01384SAINT-RAMBERT-EN-BUGEY                            AIN                         RHONE-ALPES                   01859600564200399200896200
07035090Sylvie         Chevalier  60457LA NEUVILLE-SAINT-PIERRE                          OISE                        PICARDIE                      05388801639601174402574800
07790254Julie          Pichon     11210LUC-SUR-ORBIEU                                    AUDE                        LANGUEDOC-ROUSSILLON          01387800489800452600445400
08248887Guy            Da Silva   87095MEUZAC                                            HAUTE-VIENNE                LIMOUSIN                      02904800935000835301134500
08312288Marine         Nicolas    50302LE MESNIL-AMEY                                    MANCHE                      BASSE-NORMANDIE               00909500304000303900301600
08792761Julien         Martin     23184SAINT-BARD                                        CREUSE                      LIMOUSIN                      02801500858400653901289200
08810101Mathilde       Le Roux    87176SAINT-PRIEST-LIGOURE                              HAUTE-VIENNE                LIMOUSIN                      01930300586500415600928200
08901996Gerard         Blanchard  13050LAMBESC                                           BOUCHES-DU-RHONE            PROVENCE-ALPES-COTE D'AZUR    08222902518601815403888900
09236131Maxime         Guillaume  72268SAINT-BIEZ-EN-BELIN                               SARTHE                      PAYS DE LA LOIRE              01223300394700358200470400
