Liste des imposables :
+--------+--------------------+------------------------------+------------+------------+------------+------------+------+
|Contrib.|Nom Prenom          |Lieu                          |Total       |Commune     |Dept.       |Region      |Occs  |
+--------+--------------------+------------------------------+------------+------------+------------+------------+------+
|00012941|Rodriguez, Jonathan |BESIGNAN, DROME, RHONE-ALPES  |    9 474.00|    3 123.00|    3 228.00|    3 123.00|     2|
|00790922|Arnaud, Muriel      |CREULLY, CALVADOS, BASSE-NORMA|   16 314.00|    5 467.00|    5 449.00|    5 398.00|     5|
|00889852|Picard, Matthieu    |TORDERES, PYRENEES-ORIENTALES,|   68 414.00|   21 331.00|   15 855.00|   31 228.00|     6|
|01328678|Lecomte, Florian    |COSSESSEVILLE, CALVADOS, BASSE|   20 302.00|    6 495.00|    5 741.00|    8 066.00|     6|
|01448471|Benoit, Nathalie    |CHERANCE, MAYENNE, PAYS       |    5 661.00|    1 794.00|    1 524.00|    2 343.00|     2|
|01918823|Hoarau, Fabienne    |MAXSTADT, MOSELLE, LORRAINE   |   85 470.00|   25 702.00|   17 334.00|   42 434.00|     3|
|02280283|Deschamps, Daniel   |SAINT-CLOUD, HAUTS-DE-SEINE, I|   27 702.00|    9 036.00|   10 557.00|    8 109.00|     4|
|02563262|Barre, Cedric       |SAINT-MICHEL, HERAULT, LANGUED|   57 809.00|   17 349.00|   11 589.00|   28 871.00|     3|
|02885481|Deschamps, Elodie   |SAINT-CIERS-DE-CANESSE, GIROND|    8 028.00|    2 689.00|    2 689.00|    2 650.00|     2|
|03427557|Breton, Jerome      |LAMONTELARIE, TARN, MIDI-PYREN|   48 872.00|   14 689.00|   11 118.00|   23 065.00|     5|
|04144405|Lecomte, Claude     |CHARMONT, MARNE, CHAMPAGNE-ARD|   15 997.00|    5 205.00|    4 788.00|    6 004.00|     6|
|04186499|Philippe, Anthony   |COURGIS, YONNE, BOURGOGNE     |   25 296.00|    7 932.00|    6 621.00|   10 743.00|     4|
|04381161|Weber, Michel       |GRESY-SUR-ISERE, SAVOIE, RHONE|    9 116.00|    3 108.00|    2 797.00|    3 211.00|     5|
|04393210|Delaunay, Karine    |FICAJA, HAUTE-CORSE, CORSE    |    9 450.00|    3 150.00|    3 150.00|    3 150.00|     2|
|04720278|Garcia, Clara       |KAYSERSBERG, HAUT-RHIN, ALSACE|   37 243.00|   11 255.00|    7 805.00|   18 183.00|     3|
|04914690|Bailly, Loic        |MAISONS, EURE-ET-LOIR, CENTRE |   13 034.00|    4 135.00|    3 505.00|    5 394.00|     3|
|05249066|Grondin, Matthieu   |YSSANDON, CORREZE, LIMOUSIN   |   93 854.00|   29 058.00|   21 106.00|   43 690.00|     5|
|05781635|Bertrand, Gilles    |CHAUDEFONTAINE, DOUBS, FRANCHE|  161 527.00|   48 947.00|   33 771.00|   78 809.00|     6|
|05818791|Bonnet, Gerard      |SAINT-CLEMENT, YONNE, BOURGOGN|   38 160.00|   11 868.00|    8 964.00|   17 328.00|     6|
|06109062|Millet, Thierry     |LOISEY-CULEY, MEUSE, LORRAINE |   13 892.00|    4 609.00|    4 652.00|    4 631.00|     5|
|06516517|Brun, Romain        |PUY-SAINT-GULMIER, PUY-DE-DOME|   35 512.00|   10 970.00|    8 515.00|   16 027.00|     6|
|06651836|Petit, Anne         |SAINT-RAMBERT-EN-BUGEY, AIN, R|   18 596.00|    5 642.00|    3 992.00|    8 962.00|     2|
|07035090|Chevalier, Sylvie   |LA NEUVILLE-SAINT-PIERRE, OISE|   53 888.00|   16 396.00|   11 744.00|   25 748.00|     3|
|07790254|Pichon, Julie       |LUC-SUR-ORBIEU, AUDE, LANGUEDO|   13 878.00|    4 898.00|    4 526.00|    4 454.00|     4|
|08248887|Da Silva, Guy       |MEUZAC, HAUTE-VIENNE, LIMOUSIN|   29 271.00|    9 417.00|    8 398.00|   11 456.00|     7|
|08312288|Nicolas, Marine     |LE MESNIL-AMEY, MANCHE, BASSE-|    9 095.00|    3 040.00|    3 039.00|    3 016.00|     2|
|08792761|Martin, Julien      |SAINT-BARD, CREUSE, LIMOUSIN  |   28 929.00|    8 858.00|    6 722.00|   13 349.00|     4|
|08810101|Le Roux, Mathilde   |SAINT-PRIEST-LIGOURE, HAUTE-VI|   40 004.00|   12 075.00|    8 297.00|   19 632.00|     4|
|08901996|Blanchard, Gerard   |LAMBESC, BOUCHES-DU-RHONE, PRO|   99 436.00|   30 348.00|   21 596.00|   47 492.00|     6|
